pl_controv_flag,pl_name,hostname,pl_letter,sy_snum,discoverymethod,disc_year,pl_radj,pl_massj,st_spectype,st_rad,st_mass,st_met,st_lum,st_teff,st_rad.1
0,HD 260655 c,HD 260655,c,1,Transit,2022,0.13676533,0.00972222725201527,M0 V,0.439,0.439,-0.43,-1.43997,3803.0,0.439
0,TOI-715 b,TOI-715,b,1,Transit,2023,0.13828198,,M4,0.24,0.225,-0.25,-2.30899,3075.0,0.24
0,TOI-2257 b,TOI-2257,b,1,Transit,2021,0.19573591,,M3,0.313,0.328,-0.27,-1.86713,3430.0,0.313
0,HIP 97166 c,HIP 97166,c,1,Radial Velocity,2021,0.245,,K0 V,0.8418,0.9342,0.248,-0.32514,5216.0,0.8418
0,HD 19615 b,HD 19615,b,1,Radial Velocity,2022,1.12,,K0,32.3,1.1,-0.31,2.51455,4263.0,32.3
0,Kepler-809 b,Kepler-809,b,1,Transit,2016,0.26853421,,,0.98,0.99,0.04,0.00145,5734.0,0.98
0,TOI-1221 b,TOI-1221,b,1,Transit,2023,0.25961326,3.5,,1.031,0.93,0.06,-0.01689,5592.0,1.031
0,TOI-1803 b,TOI-1803,b,1,Transit,2025,0.26675039,0.0324703512106141,,0.715,0.756,0.014,-0.65365,4687.0,0.715
0,HD 29399 b,HD 29399,b,1,Radial Velocity,2022,1.21,,K1 III,4.5,1.17,0.14,1.00173,4845.0,4.5
0,2M0437 b,2MASS J04372171+2651014,b,1,Imaging,2021,1.16,4.0,M V,0.84,0.17,0.01,-1.16368,3100.0,0.84
0,TOI-332 b,TOI-332,b,1,Transit,2023,0.28548537,0.179971326477435,K0 V,0.87,0.88,0.256,-0.22143,5251.0,0.87
0,Kepler-788 b,Kepler-788,b,1,Transit,2016,0.22749576,,,1.23,1.16,0.05,0.33615,6159.0,1.23
0,HATS-74 A b,HATS-74 A,b,2,Transit,2021,1.032,1.46,,0.5758,0.601,0.514,-1.2161,3776.9,0.5758
0,HATS-77 b,HATS-77,b,1,Transit,2021,1.165,1.374,,0.6428,0.655,0.253,-0.99183,4071.0,0.6428
0,TOI-1670 c,TOI-1670,c,1,Transit,2022,0.987,0.63,F7 V,1.316,1.21,0.09,0.40046,6170.0,1.316
0,TOI-784 b,HD 307842,b,1,Transit,2023,0.17218336,0.0304252225006432,G,0.907,0.91,-0.13,-0.19034,5558.0,0.907
0,TOI-1824 b,TOI-1824,b,1,Transit,2024,0.24478826,0.0503416297838978,,0.8123,0.8801,0.124,-0.37263,5165.0,0.8123
0,K2-389 b,K2-389,b,1,Transit,2022,0.20786903,,G3,1.094,0.99,0.038,0.10644,5773.0,1.094
0,Kepler-818 b,Kepler-818,b,1,Transit,2016,0.45588366,,,0.92,0.94,-0.08,-0.124,5638.0,0.92
0,Kepler-463 b,Kepler-463,b,1,Transit,2016,0.27210277,,,0.9,0.87,-0.28,0.07904,5661.0,0.9
0,TOI-836 c,TOI-836,c,1,Transit,2023,0.23079708,0.0302049778703387,K V,0.665,0.678,-0.284,-0.85276,4552.0,0.665
0,Kepler-799 b,Kepler-799,b,1,Transit,2016,0.61379249,,,0.93,0.95,-0.07,-0.09,5681.0,0.93
0,TOI-1269 b,TOI-1269,b,1,Transit,2024,0.21424275,0.0201366519135591,,0.8521,0.9027,-0.049,-0.21968,5499.0,0.8521
0,TOI-1846 b,TOI-1846,b,1,Transit,2025,0.15987181,,,0.397,0.418,0.169,-1.63714,3568.0,0.397
0,TOI-1836 b,TOI-1836,b,1,Transit,2024,0.714,0.121,,1.577,1.307,-0.101,0.5682,6380.0,1.577
0,HD 224018 c,HD 224018,c,1,Transit,2025,0.21589831,0.0327220593595336,G V,1.147,1.013,0.05,0.12385,5784.0,1.147
0,GJ 238 b,GJ 238,b,1,Transit,2024,0.05049522,,M2.5 V,0.4314,0.4193,0.15,-1.61618,3485.0,0.4314
0,TOI-2368 b,TOI-2368,b,1,Transit,2024,0.967,0.65,,0.846,0.897,0.1,-0.27491,5360.0,0.846
0,Barnard b,Barnard's star,b,1,Radial Velocity,2024,0.0642,,M3.5-4 V,0.185,0.162,-0.56,-2.44977,3195.0,0.185
0,TOI-5005 b,TOI-5005,b,1,Transit,2024,0.558,0.103,G2 V,0.93,0.97,0.15,-0.00451,5749.0,0.93
0,Kepler-158 d,Kepler-158,d,1,Transit,2024,0.0383621,,K,0.668,0.656,-0.3,-0.75667,4895.97,0.668
0,Kepler-80 e,Kepler-80,e,1,Transit,2014,0.14274244,0.012994368058396,K5,0.678,0.73,0.04,-0.76955,4540.0,0.678
